region,year,vegetation_proxy,value
Amazon,2001,0.761567,0.761567
Amazon,2002,0.757458,0.757458
Amazon,2003,0.756275,0.756275
Amazon,2004,0.760075,0.760075
Amazon,2005,0.750350,0.750350
Amazon,2006,0.749767,0.749767
Amazon,2007,0.751033,0.751033
Amazon,2008,0.750600,0.750600
Amazon,2009,0.746475,0.746475
Amazon,2010,0.745767,0.745767
Amazon,2011,0.746333,0.746333
Amazon,2012,0.742825,0.742825
Amazon,2013,0.744225,0.744225
Amazon,2014,0.742783,0.742783
Amazon,2015,0.718417,0.718417
Amazon,2016,0.709492,0.709492
Amazon,2017,0.735625,0.735625
Amazon,2018,0.734767,0.734767
Amazon,2019,0.732500,0.732500
Amazon,2020,0.733050,0.733050
Amazon,2021,0.730117,0.730117
Amazon,2022,0.727942,0.727942
Amazon,2023,0.734508,0.734508
Western US,2001,0.339300,0.339300
Western US,2002,0.309792,0.309792
Western US,2003,0.333500,0.333500
Western US,2004,0.337450,0.337450
Western US,2005,0.331425,0.331425
Western US,2006,0.330000,0.330000
Western US,2007,0.332967,0.332967
Western US,2008,0.296392,0.296392
Western US,2009,0.328892,0.328892
Western US,2010,0.325175,0.325175
Western US,2011,0.290933,0.290933
Western US,2012,0.321458,0.321458
Western US,2013,0.327050,0.327050
Western US,2014,0.321100,0.321100
Western US,2015,0.317775,0.317775
Western US,2016,0.317533,0.317533
Western US,2017,0.314058,0.314058
Western US,2018,0.316800,0.316800
Western US,2019,0.311017,0.311017
Western US,2020,0.312367,0.312367
Western US,2021,0.308208,0.308208
Western US,2022,0.310108,0.310108
Western US,2023,0.276792,0.276792
Midwest,2001,0.570367,0.570367
Midwest,2002,0.565867,0.565867
Midwest,2003,0.564933,0.564933
Midwest,2004,0.566567,0.566567
Midwest,2005,0.560708,0.560708
Midwest,2006,0.560908,0.560908
Midwest,2007,0.561483,0.561483
Midwest,2008,0.555992,0.555992
Midwest,2009,0.557750,0.557750
Midwest,2010,0.557875,0.557875
Midwest,2011,0.555925,0.555925
Midwest,2012,0.514608,0.514608
Midwest,2013,0.550900,0.550900
Midwest,2014,0.547500,0.547500
Midwest,2015,0.554475,0.554475
Midwest,2016,0.545875,0.545875
Midwest,2017,0.544025,0.544025
Midwest,2018,0.546400,0.546400
Midwest,2019,0.543242,0.543242
Midwest,2020,0.539050,0.539050
Midwest,2021,0.540492,0.540492
Midwest,2022,0.539067,0.539067
Midwest,2023,0.535283,0.535283
Central America,2001,0.641358,0.641358
Central America,2002,0.641567,0.641567
Central America,2003,0.639950,0.639950
Central America,2004,0.633333,0.633333
Central America,2005,0.634425,0.634425
Central America,2006,0.624750,0.624750
Central America,2007,0.631467,0.631467
Central America,2008,0.630758,0.630758
Central America,2009,0.628958,0.628958
Central America,2010,0.629575,0.629575
Central America,2011,0.626450,0.626450
Central America,2012,0.623458,0.623458
Central America,2013,0.624667,0.624667
Central America,2014,0.622425,0.622425
Central America,2015,0.618458,0.618458
Central America,2016,0.618350,0.618350
Central America,2017,0.614383,0.614383
Central America,2018,0.617092,0.617092
Central America,2019,0.613058,0.613058
Central America,2020,0.581717,0.581717
Central America,2021,0.609950,0.609950
Central America,2022,0.609317,0.609317
Central America,2023,0.609692,0.609692
Andes,2001,0.400442,0.400442
Andes,2002,0.397550,0.397550
Andes,2003,0.397783,0.397783
Andes,2004,0.397058,0.397058
Andes,2005,0.397467,0.397467
Andes,2006,0.394883,0.394883
Andes,2007,0.392900,0.392900
Andes,2008,0.384408,0.384408
Andes,2009,0.386942,0.386942
Andes,2010,0.391550,0.391550
Andes,2011,0.386500,0.386500
Andes,2012,0.378225,0.378225
Andes,2013,0.381517,0.381517
Andes,2014,0.382858,0.382858
Andes,2015,0.379308,0.379308
Andes,2016,0.379133,0.379133
Andes,2017,0.375625,0.375625
Andes,2018,0.378842,0.378842
Andes,2019,0.375633,0.375633
Andes,2020,0.371475,0.371475
Andes,2021,0.375258,0.375258
Andes,2022,0.349667,0.349667
Andes,2023,0.364942,0.364942
Canada/Arctic,2001,0.503708,0.503708
Canada/Arctic,2002,0.499408,0.499408
Canada/Arctic,2003,0.494617,0.494617
Canada/Arctic,2004,0.496867,0.496867
Canada/Arctic,2005,0.496842,0.496842
Canada/Arctic,2006,0.494742,0.494742
Canada/Arctic,2007,0.489600,0.489600
Canada/Arctic,2008,0.492967,0.492967
Canada/Arctic,2009,0.488217,0.488217
Canada/Arctic,2010,0.489892,0.489892
Canada/Arctic,2011,0.483000,0.483000
Canada/Arctic,2012,0.485525,0.485525
Canada/Arctic,2013,0.486450,0.486450
Canada/Arctic,2014,0.481417,0.481417
Canada/Arctic,2015,0.479108,0.479108
Canada/Arctic,2016,0.477333,0.477333
Canada/Arctic,2017,0.473542,0.473542
Canada/Arctic,2018,0.476242,0.476242
Canada/Arctic,2019,0.474225,0.474225
Canada/Arctic,2020,0.475200,0.475200
Canada/Arctic,2021,0.472708,0.472708
Canada/Arctic,2022,0.466750,0.466750
Canada/Arctic,2023,0.465650,0.465650
